name,cell,school,class,time,distance,components,duration,description,upgrade,time_filter,distance_filter,components_filter,duration_filter
Гадание,2,Прорицание,"Волшебник, друид, жрец",1 минута,На себя,"Вербальный, Соматический,
Материальный (собые палочки с отметинами,
костяшки, карты, или другие гадальные принадлежности, стоящие 25+ зм)",Мгновенная,"Вы получаете знамение от иномировой сущности о результатах определённого курса действий,
которые вы планируете совершить в течение
следующих 30 минут. Мастер выбирает знамение
из таблицы Знамения. Благо - Хороший.
Горе - Плохой.
Благо и горе - Хороший и плохой.
Ничто - Не хороший и не плохой. Заклинание не принимает в расчёт обстоятельства, такие как другие заклинания, способные
изменить исход.
Если вы накладываете это заклинание более
одного раза до завершения продолжительного
отдыха, то существует накопительный шанс 25%
за каждое использование после первого, что вы
не получите ответ.",,1 минута,На себя,"Вербальный, Соматический, Материальный расходуемый",Мгновенно
Глухота/слепота,2,Преобразование,"Бард, волшебник, жрец, чародей",Действие,120 футов,Вербальный,1 минута,"Одно существо, которое вы видите в пределах
дистанции, должно преуспеть в спасброске Телосложения, иначе получит состояние ослеплённый
или оглохший (на ваш выбор) на время длительности заклинания. В конце каждого своего хода
цель повторяет спасбросок, заканчивая заклинание на себе в случае успеха.","Вы
можете сделать целью одно дополнительное существо за каждый уровень ячейки выше второго.",Действие,120 фт и больше,Вербальный,Минута
Магическое здоровье,2,Ограждение,"Волшебник, чародей",Бонусное действие,На себя,"Вербальный, Соматический",Мгновенная,"Вы используете свою жизненную силу для ис-
целения себя. Бросьте 1 или 2 неиспользованные
кости хитов и восстановите количество хитов,
равное сумме выпавших значений и вашему
модификатору характеристики заклинателя. Эти
кости затем считаются использованными.","Ко-
личество неиспользованных костей хитов, кото-
рые вы можете бросить, увеличивается на одну
за каждый уровень ячейки заклинания выше
второго.",Бонусное действие,На себя,"Вербальный, Соматический",Мгновенно
Облако кинжалов,2,Вызов,"Бард, волшебник, колдун, чародей",Действие, 60 футов,"Вербальный, Соматический,
Материальный (осколок стекла)","Концентрация, до 1 минуты","Вы создаёте вращающиеся кинжалы в преде-
лах 5-футового куба с центром в точке в преде-
лах дистанции. Каждое существо в этой области
получает 4к4 рубящего урона. Существо также
получает этот урон, если оно входит в куб, закан-
чивает свой ход в нем или если куб перемещается
в его пространство. Существо получает этот урон
только один раз за ход.
На последующих ходах вы можете совершить
действие Магия, чтобы телепортировать куб на
расстояние до 30 футов.","Урон увеличивается на 2к4 за каждый уровень
ячейки выше второго.",Действие,60-119 фт,"Вербальный, Соматический, Материальный не расходуемый",Концентрация минуту и менее
Почтовое животное,2,Очарование,"Чародей, волшебник",Действие или ритуал,30 футов,"Вербальный, Соматический,
Материальный (кусочек пищи)",24 часа,"Крохотный зверь на ваш выбор, которого вы
видите в пределах дистанции, должен преуспеть в
спасброске Харизмы, иначе он попытается до-
ставить ваше сообщение (если ПО цели не 0, то
она автоматически преуспевает в спасброске). Вы
указываете место, которое когда-то уже посеща-
ли, и получателя, описывая его признаки, такие
как «персона в униформе городской стражи» или
«рыжий дварф в остроконечной шляпе». Вы также
произносите сообщение длиной не более 25 слов.
Зверь в течение длительности заклинания двига-
ется в указанное место, покрывая примерно 50
миль за 24 часа при полёте или 25 миль при дру-
гих видах перемещения.
Прибыв на место, зверь передаёт ваше сообще-
ние описанному вами существу, изображая звук
вашего голоса. Если зверь не достигнет места до
окончания действия заклинания, то сообщение
будет утеряно, а зверь начнёт возвращаться к
тому месту, где вы наложили на него заклинание.","Дли-
тельность увеличивается на 48 часов за каждый
уровень ячейки выше второго.","Действие, Ритуал",30 фт,"Вербальный, Соматический, Материальный не расходуемый",Больше минуты
Размытый образ,2,Иллюзия,"Волшебник, чародей",Действие,На себя,Вербальный,"Концентрация, до 1 минуты","Ваше тело становится размытым. На время
длительности любое существо получает помеху
на броски атаки против вас. Атакующий получа-
ет иммунитет к этому эффекту, если видит вас с
помощью слепого или истинного зрения.",,Действие,На себя,Вербальный,Концентрация минуту и менее
Смена обличья,2,Преобразование,"Чародей, волшебник",Действие,На себя,"Вербальный, Соматический","Концентрация, до 1 часа","Вы принимаете другой облик. При наклады-
вании выберите один из представленных ниже
вариантов, эффект от которого будет длиться
всю длительность заклинания. Пока заклина-
ние активно, вы можете использовать действие
Магия, чтобы заменить выбранный вами эффект
другим.
Адаптация к воде. Вы приспосабливаете своё
тело к существованию в воде, отращивая жабры
и перепонки между пальцами. Вы можете ды-
шать под водой и получаете скорость плавания,
равную ващей скорости.
Изменение внешности. Вы изменяете свою
внешность. Вы решаете, как будете выглядеть,
включая рост, вес, черты лица, звук голоса, длину
волос, цвет и другие отличительные характери-
стики. Вы можете стать похожим на представи-
теля другого вида, но ваши показатели не изме-
няются. Вы не можете стать существом другого
размера, и ваша основная форма остаётся той
же; например, если вы двуногий, вы не можете с
помощью этого заклинания стать четвероногим.
В течение действия заклинания вы можете со-
вершить действие магия, чтобы снова изменить
свою внешность таким образом.
Естественное оружие. Вы отращиваете когти
(рубящий урон), клыки (колющий урон), рога (дро-
бящий урон) или копыта (дробящий урон). При
нанесении урона безоружным ударом вы наноси-
те 1к6 дробящего, колющего или рубящего урона,
в зависимости от выбранного вами оружия, и вы
используете модификатор заклинательной ха-
рактеристики для бросков атаки и урона вместо
Силы.",,Действие,На себя,"Вербальный, Соматический",Концентрация больше минуты
Вечный огонь,2,Воплощение,"Друид, волшебник, жрец",Действие,Касание,"Вербальный, Соматический, Ма-
териальный (порошок из рубина соимостью 50+
зм, расходуемый заклинанием)",Пока не рассеется,"Пламя вспыхивает из объекта, которого вы
касаетесь. Эффект излучает яркий свет в ради-
усе 20 футов и тусклый свет на дополнительные
20 футов. Оно выглядит как обычное пламя, но
не излучает тепла и не потребляет топливо. Пламя
можно накрыть или спрятать, но нельзя поту-
шить или загасить.",,Действие,Касание,"Вербальный, Соматический, Материальный расходуемый",Пока не рассеется
Дыхание дракона,2,Преобразование,"Волшебник, чародей",Бонусное действие,Касание,"Вербальный, Соматический,
Материальный (острый перец)","Концентрация, до 1 минуты","Вы касаетесь одного согласного существа и
выбираете один из следующих типов урона: кис-
лотный, холодный, огненный, электрический или
ядовитый. Пока заклинание действует, цель мо-
жет использовать действие магия, чтобы выдох-
нуть 15-футовый конус. Каждое существо в этой
области должно совершить спасбросок Ловкости,
получая 3к6 урона выбранного типа при провале
или половину этого урона при успехе.","Урон увеличивается на 1к6 за каждый уровень
ячейки заклинания выше 2.",Бонусное действие,Касание,"Вербальный, Соматический, Материальный не расходуемый",Концентрация минуту и менее
Корона безумия,2,Очарование,"Бард, волшебник, колдун, чародей",Действие,120 футов,"Вербальный, Соматический","Концентрация, до 1 минуты","Одно существо, которое вы видите в пределах
дистанции, должно успешно пройти спасбро-
сок Мудрости, иначе оно окажется в состоянии
очарованный на всё время действия заклинания.
Существо автоматически проходит спасбросок,
если оно не является гуманоидом.
На голове очарованного существа появляется
призрачная корона, и оно должно использовать
своё действие перед каждым перемещением на
своём ходу, чтобы совершить рукопашную атаку
против существа, отличного от себя, которого вы
мысленно выберете. Если вы не выбрали суще-
ство или ни одно существо не находится в пре-
делах досягаемости, то цель действует нормаль-
но на своём ходу. Цель повторяет спасбросок в
конце каждого своего хода, и если он успешен, то
заклинание на ней заканчивается.
На ваших последующих ходах вы должны
совершить действие магия, чтобы поддерживать
контроль над целью, иначе заклинание прекратит
своё действие.",,Действие,120 фт и больше,"Вербальный, Соматический",Концентрация минуту и менее
Речь златоуста,2,Очарование,"Бард, колдун",Действие, 60 футов,"Вербальный, Соматический","Концентрация, до 1 минуты","Вы плетёте отвлекающую речь, заставляя вы-
бранных существ, которых вы видите в пределах
дистанции, совершить спасбросок Мудрости.
Любое существо, с которым вы или ваши спут-
ники сражаетесь, автоматически преуспевают в
этом спасброскк. В случае провала спасброска
цель получает штраф -10 к проверкам Мудрости
(Внимательность) и пассивной Внимательности
до окончания действия заклинания.",,Действие,60-119 фт,"Вербальный, Соматический",Концентрация минуту и менее
Обнаружение мыслей,2,Прорицание,"Бард, волшебник, чародей",Действие,На себя,"Вербальный, Соматический,
Материальный (медная монетка)","Концентрация, до 1 минуты","Вы активируете один из нижеуказанных эф-
фектов. Пока заклинание действует, вы можете
активировать любой из этих эффектов, используя
действие магия во время своего хода.
Ощущение мыслей. Вы чувствуете присут-
ствие мыслей в радиусе 30 футов от себя, при-
надлежащих существам, которые знают языки
или обладают телепатией. Вы не читаете мысли,
но узнаете, что поблизости есть мыслящее суще-
ство. Заклинание блокируется 1 футом камня,
земли или дерева; 1 дюймом металла или тонким
листом свинца.
Чтение мыслей. Выберите одно существо, ко-
торое вы видите в радиусе 30 футов от себя, или
одно существо, которое вы обнаружили с помо-
щью опции Ощущение мыслей. Вы узнаете, что
сейчас больше всего занимает разум цели прямо
сейчас. Если цель не знает языков и не обладает
телепатией, то вы ничего не узнаете.
Действием магия в свой следующий ход, вы
можете попытаться проникнуть глубже в раз-
ум цели. Если вы углубитесь, то цель соверша-
ет спасбросок Мудрости. В случае провала вы
узнаете её рассуждения, эмоции и что-то важное
в её сознании (например, беспокойство, любовь
или ненависть). В случае успешного спасброска
заклинание заканчивается. В любом случае цель
узнает, что вы исследуете в её разум, и пока вы
не переключите внимание на что-то другое, цель
может совершить действие в свой ход, чтобы сде-
лать проверку Интеллекта (Магия) против слож-
ности вашего спасброска заклинания, закончив
заклинание в случае успеха.",,Действие,На себя,"Вербальный, Соматический, Материальный не расходуемый",Концентрация минуту и менее
Тьма,2,Воплощение,"Волшебник, колдун, чародей",Действие,60 футов,"Вербальный, Материальный
(мех летучей мыши и кусочек угля)
","Концентрация, до 10 минут","На время действия сфера с 15-футовым радиусом с центром в точке, выбранной вами в
пределах дистанции, заполняется тьмой. Тёмные
зрение не может видеть сквозь эту тьму и немагический свет не может её осветить.
В качестве альтернативы, вы можете наложить
заклинание на объект, который не носится и не
удерживается, заставляя тьму заполнить 15-футовую эманацию, исходящую от этого объекта.
Покрытие этого предмета чем-то непрозрачным,
таким как чаша или шлем, блокирует тьму.
Если область действия этого заклинания пересекается с областью яркого или тусклого света,
созданного заклинанием 2 уровня или ниже, то
заклинание со светом рассеивается.",,Действие,60-119 фт,"Вербальный, Соматический, Материальный не расходуемый",Концентрация больше минуты
Тёмное зрение,2,Преобразование,"Друид, волшебник, следопыт, чародей",Действие,Касание,"Вербальный, Соматический,
Материальный (сушёная морковь)",8 часов,"На время действия заклинания согласное существо, которого вы коснулись, получает тёмное
зрение в досягаемости 150 футов.",,Действие,Касание,"Вербальный, Соматический, Материальный не расходуемый",Больше минуты
Увеличение/уменьшение,2,Преобразование,"Бард, волшебник, друид, чародей",Действие,30 футов,"Вербальный, Соматический,
Материальный (щепотка порошка железа)","Концентрация, до 1 минуты","На время действия заклинание увеличивает или уменьшает существо или предмет, который вы видите в пределах дистанции (см. выбранный эффект ниже). Целевой предмет не должен быть ни надет, ни носим. Если цель — нежелающее существо, то оно может совершить спасбросок Телосложения. В случае успешного спасброска заклинание не оказывает никакого эффекта. Всё, что надето и несётся целью, меняется в размере вместе с ней. Любой предмет, который она уронит, мгновенно возвращается к нормальному размеру. Метательное оружие или боеприпас возвращаются к нормальному размеру сразу после попадания или промаха. Увеличение. Размер цели увеличивается на одну категорию (от среднего до большого, например). Цель также получает преимущество на проверки Силы и спасброски Силы. Атака увеличенным оружием или безоружным ударом наносят дополнительно 1к4 урона при попадании. Уменьшение. Размер цели уменьшается на одну категорию (от среднего до маленького, например). Цель также получает помеху на проверки Силы и спасброски Силы. Атака уменьшенным оружием или безоружным ударом наносят на 1к4 меньше урона при попадании (урон не может быть уменьшен ниже 1).",,Действие,30 фт,"Вербальный, Соматический, Материальный не расходуемый",Концентрация минуту и менее
Улучшение характеристики,2,Преобразование,"Бард, волшебник, друид,, жрец следопыт, чародей",Действие,Касание,"Вербальный, Соматический,
Материальный (мех или перо)","Концентрация, до 1 часа
","Вы касаетесь существа и выбираете Силу,
Ловкость, Интеллект, Мудрость или Харизму. На
время действия заклинания цель получает преимущество на проверки характеристик, использующие выбранную характеристику.","Вы
можете выбрать одну дополнительную цель за
каждый уровень ячейки заклинаний выше 2-го.
Вы можете выбрать другую характеристику для
каждой цели.",Действие,Касание,"Вербальный, Соматический, Материальный не расходуемый",Концентрация больше минуты
Нетленные останки,2,Некромантия,"Жрец, паладин, волшебник",Действие или ритуал,Прикосновение,"Вербальный, Соматический,
Материальный (2 медные монеты, расходуемые
заклинанием)
",10 дней,"Вы прикасаетесь к трупу или другим останкам.
На время действия заклинания цель защищена от
разложения и не может стать нежитью.
Это заклинание также увеличивает ограничение по времени, в течение которого труп можно
возродить, так как дни, проведённые под воздействием этого заклинания, не учитываются при
подсчёте времени со дня смерти для таких заклинаний как Слабое возрождение.",,"Действие, Ритуал",Касание,"Вербальный, Соматический, Материальный расходуемый",Больше минуты
Порыв ветра,2,Воплощение,"Друид, следопыт, чародей, волшебник",Действие,На себя,"Вербальный, Соматический,
Материальный (семя бобового растения)","Концентрация, до 1 минуты","Линия сильного ветра длиной 60 футов и шириной 10 футов вырывается из вас в выбранном
вами направлении на всё время действия заклинания. Каждое существо в линии должно совершить спасбросок Силы, или оно будет отброшено
на 15 футов от вас в выбранном направлении по
линии. Существо, которое заканчивает свой ход в
линии, должно повторно совершить спасбросок.
Любое существо в линии должно тратить 2
фута перемещения за каждый 1 фут, когда движется по направлению к вам.
Порыв рассеивает газ или пар, а также тушит свечи и похожие незащищённые источники
пламени в области. Он заставляет защищённые
источники пламени, такие как огни фонарей,
трепетать и с вероятностью 50 процентов может
их потушить.
Бонусным действием в ваши последующие
ходы вы можете изменить направление Линии,
исходящей от вас.",,Действие,На себя,"Вербальный, Соматический, Материальный не расходуемый",Концентрация минуту и менее
Пылающая сфера,2,Вызов,"Друид, волшебник, чародей",Действие,60 футов,"Вербальный, Соматический,
Материальный (шарик воска)","Концентрация, до 1 минуты","Вы создаёте огненный шар диаметром 5 футов
в незанятом пространстве на земле в пределах
дистанции. Он существует в течение всего времени действия заклинания. Любое существо,
заканчивающее свой ход в пределах 5 футов от
шара, совершает спасбросок Ловкости, получая
2к6 урона огнём при провале или половину этого
урона при успехе.
Бонусным действием вы можете переместить
шар на расстояние до 30 футов, катя его по земле. Если вы перемещаете шар в пространство,
занятое существом, то это существо совершает
спасбросок против шара, и шар останавливается
на этом ходу.
Когда вы перемещаете шар, вы можете направлять его через барьеры высотой до 5 футов и
перепрыгивать через ямы шириной до 10 футов.
Легковоспламеняющиеся предметы, которые не
носят и не держат, загораются при контакте с
шаром. Шар излучает яркий свет в радиусе 20
футов и тусклый свет на 20 футов дальше.","Урон увеличивается на 1к6 за каждый уровень
ячейки заклинаний выше второго.",Действие,60-119 фт,"Вербальный, Соматический, Материальный не расходуемый",Концентрация минуту и менее
Дребезги,2,Воплощение,"Бард, волшебник, чародей",Действие,60 футов,"Вербальный, Соматический,
Материальный (кусочек слюды)",Мгновенная,"Громкий звук возникает в точке по вашему
выбору в пределах дистанции. Каждое существо
в сфере радиусом 10 футов с центром в этой точке должно совершить спасбросок Телосложения,
получая 3к8 урона звуком при провале или половину этого урона при успехе. Конструкты совершают спасбросок с помехой.
Немагический предмет, который не надевается
и не несётся, также получает урон, если он находится в области действия заклинания.","Урон
увеличивается на 1к8 за каждый уровень ячейки
заклинаний выше второго.",Действие,60-119 фт,"Вербальный, Соматический, Материальный не расходуемый",Мгновенно
Трюк с верёвкой,2,Преобразование,Волшебник,Действие,Касание,"Вербальный, Соматический,
Материальный (отрезок верёвки)
",1 час,"Вы касаетесь верёвки. Один конец её поднимается вверх, пока верёвка не будет висеть
перпендикулярно земле или не достигнет потолка. На верхнем конце верёвки открывается
невидимый портал размером 3 на 5 футов, ведущий в межпространство, которое существует до
окончания заклинания. Это пространство можно
достичь, взобравшись по верёвке, которую можно
втянуть в это пространство или сбросить из него.
В пространстве могут находиться до восьми
существ среднего или меньшего размера. Атаки,
заклинания и другие эффекты не могут проходить внутрь или наружу этого пространства, но
существа внутри него могут видеть сквозь портал. Всё, что находится внутри пространства, выпадает наружу, когда заклинание заканчивается.",,Действие,Касание,"Вербальный, Соматический, Материальный не расходуемый",Больше минуты
Видение невидимого,2,Прорицание,"Бард, волшебник, чародей",Действие,На себя,"Вербальный, Соматический,
Материальный (щепотка талька)",1 час,"На время действия заклинания вы видите существ и объекты, обладающие состоянием невидимый, как если бы они были видимы, и можете
видеть на Эфирный план. Существа и объекты
там кажутся призрачными.",,Действие,На себя,"Вербальный, Соматический, Материальный не расходуемый",Больше минуты
Горящий клинок,2,Воплощение,"Друид, чародей",Бонусное действие,На себя,"Вербальный, Соматический,
Материальный (лист сумаха)","Концентрация, до 10 минут","Вы призываете горящий клинок в свою свободную руку. Клинок по размеру и форме напоминает скимитар и существует на протяжении действия заклинания. Если вы отпускаете клинок, он
исчезает, но вы можете вновь призвать его бонусным действием.
Действим магия, вы можете совершить рукопашную атаку заклинанием с помощью горящего клинка. При попадании цель получает урон
огнём в размере 3к6 + ваш модификатор заклинательной характеристики.
Горящий клинок излучает яркий свет в радиусе
10 футов и тусклый свет ещё на 10 футов.","Урон увеличивается на 1к6 за каждый уровень
ячейки заклинания выше второго.",Бонусное действие,На себя,"Вербальный, Соматический, Материальный не расходуемый",Концентрация больше минуты
Палящий луч,2,Воплощение,"Волшебник, чародей",Действие,120 футов,"Вербальный, Соматический",Мгновенная,"Вы метаете три огненных луча. Вы можете
метнуть их в одну цель в пределах дистанции или
в несколько. Совершите дальнобойную атаку
заклинанием для каждого луча. При попадании
цель получает 2к6 урона огнём.","Вы
создаёте один дополнительный луч за каждый
уровень ячейки заклинаний выше 2.",Действие,120 фт и больше,"Вербальный, Соматический",Мгновенно
Луч слабости,2,Некромантия,"Волшебник, колдун",Действие,60 футов,"Вербальный, Соматический","Концентрация, до 1 минуты","Луч изнуряющей энергии вырывается из вас
в сторону существа в пределах дистанции. Цель
должна совершить спасбросок Телосложения. При
успешном спасброске цель получает Помеху на
следующий бросок атаки, который она совершит
до начала вашего следующего хода.
При провале цель получает помеху на все D20
Тест, связанные с Силой, на время действия
заклинания. В течение этого времени она также
вычитает 1к8 из всех своих бросков урона. Цель
повторяет спасбросок в конце каждого своего
хода и заклинание заканчивается при успешном
спасброске.",,Действие,60-119 фт,"Вербальный, Соматический",Концентрация минуту и менее
Нистулова ложная магия,2,Иллюзия,Волшебник,Действие,касание,"Вербальный, Соматический,
Материальный (маленький квадрат
шёлка)
",24 часа,"С прикосновением вы накладываете иллюзию
на согласное существо или предмет, который не
носится и не переносится. Существо получает
эффект Маскировка, а предмет эффект Ложная
аура. Эффект длится на протяжении всей длительности. Если вы накладываете заклинание
на одну и ту же цель каждый день в течение 30
дней, то иллюзия сохраняется до тех пор, пока не
будет рассеяна.
Маскировка (существо). Выберите тип существа, отличный от реального типа цели. Заклинания и другие магические эффекты будут считать
цель существом выбранного типа.
Ложная аура (предмет). Вы изменяете восприятие цели заклинаниями и магическими
эффектами, которые обнаруживают магические
ауры, такими как Обнаружение магии. Вы можете сделать так, чтобы немагический предмет
казался магическим, чтобы магический предмет
казался немагическим, или изменить ауру предмета так, чтобы она принадлежала выбранной
вами школе магии.",,Действие,Касание,"Вербальный, Соматический, Материальный не расходуемый",Больше минуты
Воображаемая сила,2,Иллюзия,"Бард, волшебник, чародей",Действие,60 футов,"Вербальный, Соматический,
Материальный (кусочек шерсти)","Концентрация, до 1 минуты","Вы пытаетесь создать иллюзию в разуме существа, которое вы видите в пределах дистанции.
Цель совершает спасбросок Интеллекта. В случае
провала вы создаете фантомный объект, существо или другое явление, которое не превышает размер 10-футового куба и воспринимается
только целью на время действия заклинания.
Иллюзия включает звуки, температуру и другие
раздражители.
Цель может выполнить действие изучение,
чтобы изучить фантом с помощью проверки
Интеллекта (Анализ) против Сл спасброска вашего заклинания. Если проверка успешна, то цель
осознает, что фантом является иллюзией и заклинание заканчивается.
Пока цель находится под действием заклинания, она воспринимает фантом как реальный
объект и рационализирует любые нелогичные последствия взаимодействия с ним. Например, если
цель шагнет на фантомный мост и переживет
падение, то она будет считать, что мост существует, а что-то другое стало причиной падения.
Пораженная цель может даже получить урон
от иллюзии, если фантом представляет собой
опасное существо или угрозу. В каждый из ваших
ходов такой фантом может наносить цели 2к8
урона психической энергии, если она находится в
области фантома или в пределах 5 футов от него.
Цель воспринимает урон как соответствующий
иллюзии тип.",,Действие,60-119 фт,"Вербальный, Соматический, Материальный не расходуемый",Концентрация минуту и менее
Волшебные уста,2,Иллюзия,"Бард, Волшебник",1 минута или ритуал,30 футов,"Вербальный, Соматический,
Материальный (пыльца изумруда стоимостью 10+
зм, расходуемая заклинанием)",Пока не рассеется,"Вы встраиваете сообщение в объект в пределах
дистанции — сообщение, которое произносится,
когда выполняется условие активации. Выберите
объект, который вы видите и который не носит и
не держит другое существо. Затем произнесите
сообщение, которое должно содержать не более
25 слов, хотя его можно произносить в течение
10 минут. Наконец, определите условие, при котором заклинание сработает и сообщение будет
передано.
Когда это условие выполняется, на объекте
появляется магический рот, который произносит
сообщение вашим голосом и на том же уровне громкости, что и вы. Если выбранный вами
объект имеет рот или что-то, что на него похоже
(например, рот статуи), то магический рот появляется именно там, так что слова кажутся исходящими из рта объекта. При наложении этого
заклинания вы можете указать, чтобы оно закончилось после передачи сообщения, либо чтобы
оно оставалось и повторяло сообщение каждый
раз, когда условие выполняется.
Условие активации может быть настолько общим или подробным, насколько вам нужно, однако оно должно основываться на визуальных или
звуковых условиях, происходящих в пределах 30
футов от объекта. Например, вы можете указать
рту заговорить, когда любое существо приблизится к объекту на расстояние 30 футов или когда
в пределах 30 футов зазвонит серебряный колокольчик.",,"1 минута, Ритуал",30 фт,"Вербальный, Соматический, Материальный расходуемый",Пока не рассеется
